Town,FIPS,Year,Age Range,Insurance Status,Measure Type,Variable,Value
Ansonia,900901220.0,2008-2012,65+,Without Health Insurance,Number,Health Insurance,0.0
Ansonia,900901220.0,2010-2014,18-64,With Private Health Insurance,Percent,Health Insurance,63.3
Andover,901301080.0,2015-2019,18-64,With Private Health Insurance,Number,Health Insurance,1810.0
Andover,901301080.0,2012-2016,Under 18,Without Health Insurance,Percent,Margins of Error,3.8
Ansonia,900901220.0,2013-2017,All,Without Health Insurance,Percent,Health Insurance,5.0
Ansonia,900901220.0,2008-2012,All,Without Health Insurance,Number,Margins of Error,494.0
Andover,901301080.0,2011-2015,18-64,With Public Health Insurance,Percent,Health Insurance,8.9
Ansonia,900901220.0,2013-2017,18-64,With Private Health Insurance,Percent,Margins of Error,6.7
Andover,901301080.0,2011-2015,Under 18,With Public Health Insurance,Percent,Margins of Error,11.3
Andover,901301080.0,2013-2017,65+,Without Health Insurance,Number,Health Insurance,0.0
Ansonia,900901220.0,2012-2016,18-64,Without Health Insurance,Number,Health Insurance,1451.0
Ansonia,900901220.0,2014-2018,Under 18,Without Health Insurance,Number,Margins of Error,81.0
Ansonia,900901220.0,2012-2016,18-64,With Public Health Insurance,Number,Health Insurance,3622.0
Andover,901301080.0,2013-2017,18-64,Without Health Insurance,Percent,Margins of Error,2.8
Ansonia,900901220.0,2008-2012,Under 18,Without Health Insurance,Number,Margins of Error,253.0
Andover,901301080.0,2010-2014,All,Without Health Insurance,Number,Health Insurance,137.0
Andover,901301080.0,2010-2014,Under 18,With Public Health Insurance,Percent,Health Insurance,15.6
Ansonia,900901220.0,2012-2016,65+,Without Health Insurance,Percent,Margins of Error,1.4
Andover,901301080.0,2012-2016,Under 18,With Public Health Insurance,Number,Health Insurance,65.0
Andover,901301080.0,2013-2017,Under 18,Without Health Insurance,Number,Health Insurance,0.0
Andover,901301080.0,2009-2013,65+,Without Health Insurance,Number,Health Insurance,0.0
Andover,901301080.0,2008-2012,All,With Public Health Insurance,Percent,Margins of Error,3.7
Andover,901301080.0,2009-2013,65+,With Public Health Insurance,Number,Margins of Error,83.0
Ansonia,900901220.0,2010-2014,65+,Without Health Insurance,Number,Margins of Error,38.0
Andover,901301080.0,2015-2019,65+,With Public Health Insurance,Number,Margins of Error,81.0
Ansonia,900901220.0,2010-2014,65+,With Private Health Insurance,Percent,Health Insurance,59.0
Ansonia,900901220.0,2008-2012,Under 18,With Private Health Insurance,Percent,Margins of Error,4.8
Andover,901301080.0,2015-2019,18-64,With Private Health Insurance,Number,Margins of Error,211.0
Andover,901301080.0,2012-2016,Under 18,With Private Health Insurance,Number,Health Insurance,586.0
Andover,901301080.0,2010-2014,65+,Without Health Insurance,Number,Health Insurance,0.0
Andover,901301080.0,2008-2012,18-64,With Public Health Insurance,Number,Health Insurance,134.0
Andover,901301080.0,2008-2012,65+,With Public Health Insurance,Percent,Margins of Error,30.5
Andover,901301080.0,2008-2012,65+,With Public Health Insurance,Percent,Health Insurance,83.8
Andover,901301080.0,2009-2013,18-64,With Private Health Insurance,Number,Margins of Error,177.0
Andover,901301080.0,2011-2015,Under 18,Without Health Insurance,Percent,Margins of Error,3.5
Andover,901301080.0,2012-2016,Under 18,With Public Health Insurance,Number,Margins of Error,46.0
Ansonia,900901220.0,2012-2016,18-64,With Public Health Insurance,Percent,Health Insurance,30.4
Andover,901301080.0,2009-2013,Under 18,With Public Health Insurance,Percent,Health Insurance,16.8
Andover,901301080.0,2008-2012,All,Without Health Insurance,Percent,Margins of Error,2.9
Ansonia,900901220.0,2010-2014,Under 18,With Private Health Insurance,Number,Margins of Error,411.0
Ansonia,900901220.0,2013-2017,Under 18,With Public Health Insurance,Percent,Health Insurance,48.7
Andover,901301080.0,2011-2015,18-64,Without Health Insurance,Percent,Health Insurance,4.4
Andover,901301080.0,2013-2017,18-64,With Private Health Insurance,Number,Margins of Error,194.0
Andover,901301080.0,2015-2019,Under 18,With Public Health Insurance,Percent,Margins of Error,8.3
Ansonia,900901220.0,2010-2014,Under 18,Without Health Insurance,Number,Health Insurance,103.0
Andover,901301080.0,2014-2018,All,With Private Health Insurance,Number,Margins of Error,276.0
Ansonia,900901220.0,2008-2012,18-64,Without Health Insurance,Number,Margins of Error,423.0
Andover,901301080.0,2011-2015,18-64,Without Health Insurance,Number,Margins of Error,63.0
Ansonia,900901220.0,2009-2013,Under 18,Without Health Insurance,Number,Margins of Error,96.0
Ansonia,900901220.0,2011-2015,All,With Private Health Insurance,Percent,Margins of Error,3.7
Andover,901301080.0,2009-2013,18-64,Without Health Insurance,Percent,Margins of Error,3.8
Ansonia,900901220.0,2011-2015,65+,With Private Health Insurance,Percent,Margins of Error,10.7
Andover,901301080.0,2015-2019,Under 18,With Public Health Insurance,Number,Health Insurance,88.0
Ansonia,900901220.0,2009-2013,18-64,With Private Health Insurance,Number,Margins of Error,565.0
Andover,901301080.0,2009-2013,18-64,With Public Health Insurance,Percent,Margins of Error,3.7
Andover,901301080.0,2008-2012,Under 18,Without Health Insurance,Percent,Margins of Error,3.1
Andover,901301080.0,2008-2012,Under 18,With Private Health Insurance,Percent,Margins of Error,5.8
Ansonia,900901220.0,2012-2016,Under 18,With Public Health Insurance,Percent,Health Insurance,52.6
Andover,901301080.0,2012-2016,65+,With Public Health Insurance,Percent,Health Insurance,98.2
Ansonia,900901220.0,2013-2017,18-64,With Private Health Insurance,Number,Margins of Error,598.0
Andover,901301080.0,2013-2017,18-64,With Public Health Insurance,Percent,Margins of Error,3.5
Ansonia,900901220.0,2010-2014,Under 18,With Private Health Insurance,Percent,Health Insurance,55.6
Andover,901301080.0,2013-2017,65+,Without Health Insurance,Percent,Health Insurance,0.0
Andover,901301080.0,2010-2014,65+,With Public Health Insurance,Number,Margins of Error,78.0
Andover,901301080.0,2015-2019,Under 18,With Private Health Insurance,Number,Margins of Error,160.0
Andover,901301080.0,2014-2018,65+,With Public Health Insurance,Number,Health Insurance,396.0
Andover,901301080.0,2008-2012,18-64,Without Health Insurance,Number,Margins of Error,85.0
Ansonia,900901220.0,2008-2012,65+,Without Health Insurance,Number,Margins of Error,38.0
Andover,901301080.0,2015-2019,Under 18,With Public Health Insurance,Percent,Health Insurance,11.9
Andover,901301080.0,2008-2012,All,Without Health Insurance,Number,Margins of Error,91.0
Andover,901301080.0,2008-2012,Under 18,Without Health Insurance,Percent,Health Insurance,0.0
Andover,901301080.0,2015-2019,18-64,With Private Health Insurance,Percent,Margins of Error,14.3
Andover,901301080.0,2012-2016,18-64,With Public Health Insurance,Number,Margins of Error,64.0
Ansonia,900901220.0,2009-2013,65+,Without Health Insurance,Number,Margins of Error,38.0
Ansonia,900901220.0,2014-2018,All,Without Health Insurance,Number,Health Insurance,1123.0
Andover,901301080.0,2014-2018,65+,Without Health Insurance,Number,Health Insurance,0.0
Andover,901301080.0,2009-2013,65+,With Private Health Insurance,Number,Health Insurance,297.0
Andover,901301080.0,2014-2018,65+,Without Health Insurance,Number,Margins of Error,24.0
Andover,901301080.0,2014-2018,65+,Without Health Insurance,Percent,Health Insurance,0.0
Ansonia,900901220.0,2012-2016,All,With Private Health Insurance,Percent,Health Insurance,57.4
Andover,901301080.0,2013-2017,Under 18,With Public Health Insurance,Percent,Margins of Error,7.2
Andover,901301080.0,2012-2016,All,Without Health Insurance,Percent,Margins of Error,2.0
Andover,901301080.0,2012-2016,All,With Public Health Insurance,Number,Health Insurance,635.0
Ansonia,900901220.0,2013-2017,18-64,Without Health Insurance,Number,Health Insurance,863.0
Andover,901301080.0,2014-2018,Under 18,Without Health Insurance,Percent,Health Insurance,0.0
Ansonia,900901220.0,2008-2012,Under 18,With Private Health Insurance,Number,Health Insurance,2304.0
Andover,901301080.0,2009-2013,65+,Without Health Insurance,Number,Margins of Error,24.0
Ansonia,900901220.0,2011-2015,65+,With Public Health Insurance,Percent,Health Insurance,97.2
Andover,901301080.0,2014-2018,All,With Public Health Insurance,Number,Health Insurance,666.0
Andover,901301080.0,2014-2018,Under 18,With Private Health Insurance,Number,Health Insurance,687.0
Ansonia,900901220.0,2014-2018,All,Without Health Insurance,Number,Margins of Error,299.0
Andover,901301080.0,2011-2015,65+,With Public Health Insurance,Number,Health Insurance,481.0
Ansonia,900901220.0,2011-2015,18-64,With Public Health Insurance,Percent,Health Insurance,28.3
Andover,901301080.0,2014-2018,All,With Private Health Insurance,Percent,Margins of Error,9.2
Andover,901301080.0,2011-2015,All,Without Health Insurance,Number,Margins of Error,72.0
Andover,901301080.0,2009-2013,18-64,With Private Health Insurance,Percent,Margins of Error,3.3
Ansonia,900901220.0,2011-2015,65+,Without Health Insurance,Number,Health Insurance,0.0
Andover,901301080.0,2009-2013,Under 18,Without Health Insurance,Number,Health Insurance,0.0
Ansonia,900901220.0,2011-2015,Under 18,With Public Health Insurance,Number,Margins of Error,433.0
Andover,901301080.0,2011-2015,65+,Without Health Insurance,Number,Health Insurance,0.0
Andover,901301080.0,2012-2016,65+,Without Health Insurance,Number,Health Insurance,0.0
Andover,901301080.0,2009-2013,65+,With Public Health Insurance,Number,Health Insurance,335.0
Ansonia,900901220.0,2012-2016,All,Without Health Insurance,Percent,Health Insurance,8.2
Andover,901301080.0,2010-2014,Under 18,Without Health Insurance,Number,Margins of Error,24.0
Andover,901301080.0,2010-2014,18-64,With Public Health Insurance,Number,Margins of Error,69.0
Ansonia,900901220.0,2011-2015,65+,With Public Health Insurance,Number,Health Insurance,2635.0
Andover,901301080.0,2012-2016,65+,Without Health Insurance,Percent,Health Insurance,0.0
Andover,901301080.0,2008-2012,All,With Private Health Insurance,Number,Health Insurance,2776.0
Ansonia,900901220.0,2014-2018,Under 18,With Private Health Insurance,Percent,Margins of Error,11.8
Andover,901301080.0,2013-2017,65+,With Public Health Insurance,Number,Margins of Error,83.0
Ansonia,900901220.0,2011-2015,Under 18,Without Health Insurance,Percent,Health Insurance,2.9
Ansonia,900901220.0,2008-2012,65+,Without Health Insurance,Percent,Health Insurance,0.0
Andover,901301080.0,2013-2017,65+,With Private Health Insurance,Percent,Health Insurance,82.4
Andover,901301080.0,2010-2014,Under 18,Without Health Insurance,Number,Health Insurance,0.0
Andover,901301080.0,2012-2016,65+,With Private Health Insurance,Number,Health Insurance,320.0
Ansonia,900901220.0,2009-2013,65+,Without Health Insurance,Percent,Margins of Error,1.5
Ansonia,900901220.0,2011-2015,All,Without Health Insurance,Percent,Margins of Error,1.7
Andover,901301080.0,2013-2017,18-64,Without Health Insurance,Percent,Health Insurance,3.2
Ansonia,900901220.0,2009-2013,All,With Public Health Insurance,Percent,Margins of Error,3.8
Andover,901301080.0,2011-2015,All,With Private Health Insurance,Number,Health Insurance,2779.0
Ansonia,900901220.0,2012-2016,18-64,Without Health Insurance,Percent,Margins of Error,3.0
Ansonia,900901220.0,2011-2015,18-64,With Private Health Insurance,Number,Health Insurance,7677.0
Ansonia,900901220.0,2013-2017,All,With Private Health Insurance,Percent,Margins of Error,4.3
Ansonia,900901220.0,2011-2015,All,With Public Health Insurance,Number,Health Insurance,8352.0
Andover,901301080.0,2013-2017,18-64,With Public Health Insurance,Number,Health Insurance,178.0
Ansonia,900901220.0,2009-2013,18-64,With Public Health Insurance,Percent,Health Insurance,22.6
Andover,901301080.0,2008-2012,65+,Without Health Insurance,Percent,Health Insurance,0.0
Andover,901301080.0,2013-2017,Under 18,Without Health Insurance,Number,Margins of Error,24.0
Andover,901301080.0,2012-2016,All,With Private Health Insurance,Percent,Margins of Error,8.8
Ansonia,,,,,,,
Ansonia,900901220.0,2012-2016,All,With Private Health Insurance,Percent,Margins of Error,3.9
Andover,901301080.0,2010-2014,All,Without Health Insurance,Percent,Margins of Error,2.8
Ansonia,900901220.0,2013-2017,65+,Without Health Insurance,Number,Health Insurance,0.0
Ansonia,900901220.0,2010-2014,65+,With Private Health Insurance,Number,Margins of Error,239.0
Andover,901301080.0,2014-2018,18-64,Without Health Insurance,Number,Margins of Error,59.0
Andover,901301080.0,2010-2014,All,With Public Health Insurance,Number,Health Insurance,656.0
Ansonia,900901220.0,2011-2015,65+,Without Health Insurance,Percent,Margins of Error,1.4
Ansonia,900901220.0,2012-2016,65+,Without Health Insurance,Number,Health Insurance,0.0
Andover,901301080.0,2014-2018,65+,With Public Health Insurance,Percent,Margins of Error,25.4
Andover,901301080.0,2011-2015,18-64,Without Health Insurance,Percent,Margins of Error,3.2
Andover,901301080.0,2014-2018,Under 18,With Public Health Insurance,Number,Health Insurance,91.0
Ansonia,900901220.0,2011-2015,Under 18,Without Health Insurance,Percent,Margins of Error,1.9
Andover,901301080.0,2011-2015,All,With Public Health Insurance,Number,Margins of Error,146.0
Andover,901301080.0,2010-2014,18-64,With Public Health Insurance,Number,Health Insurance,195.0
Ansonia,900901220.0,2011-2015,Under 18,Without Health Insurance,Number,Health Insurance,129.0
Ansonia,900901220.0,2012-2016,18-64,With Private Health Insurance,Number,Margins of Error,577.0
Andover,901301080.0,2011-2015,65+,With Public Health Insurance,Number,Margins of Error,105.0
Ansonia,900901220.0,2008-2012,65+,With Public Health Insurance,Number,Margins of Error,278.0
Ansonia,900901220.0,2013-2017,18-64,Without Health Insurance,Number,Margins of Error,257.0
Ansonia,900901220.0,2014-2018,Under 18,With Private Health Insurance,Number,Margins of Error,437.0
Andover,901301080.0,2015-2019,All,With Public Health Insurance,Percent,Health Insurance,21.1
Ansonia,900901220.0,2013-2017,Under 18,With Public Health Insurance,Number,Health Insurance,2235.0
Andover,901301080.0,2010-2014,65+,Without Health Insurance,Percent,Health Insurance,0.0
Andover,901301080.0,2010-2014,65+,Without Health Insurance,Number,Margins of Error,24.0
Ansonia,900901220.0,2008-2012,All,With Public Health Insurance,Percent,Health Insurance,36.0
Andover,901301080.0,2014-2018,18-64,Without Health Insurance,Number,Health Insurance,56.0
Andover,901301080.0,2008-2012,Under 18,With Public Health Insurance,Percent,Margins of Error,8.9
Andover,901301080.0,2011-2015,18-64,With Public Health Insurance,Number,Health Insurance,176.0
Ansonia,900901220.0,2013-2017,18-64,Without Health Insurance,Percent,Health Insurance,7.5
Andover,901301080.0,2014-2018,18-64,With Private Health Insurance,Number,Health Insurance,1897.0
Ansonia,900901220.0,2013-2017,18-64,With Public Health Insurance,Number,Health Insurance,3553.0
Andover,901301080.0,2008-2012,Under 18,With Private Health Insurance,Number,Health Insurance,685.0
Andover,901301080.0,2014-2018,Under 18,With Public Health Insurance,Number,Margins of Error,57.0
Andover,901301080.0,2008-2012,18-64,With Private Health Insurance,Number,Margins of Error,184.0
Ansonia,900901220.0,2010-2014,18-64,Without Health Insurance,Percent,Margins of Error,3.2
Andover,901301080.0,2011-2015,18-64,With Private Health Insurance,Number,Margins of Error,212.0
Ansonia,900901220.0,2013-2017,65+,With Private Health Insurance,Number,Health Insurance,1615.0
Ansonia,900901220.0,2008-2012,18-64,With Private Health Insurance,Number,Health Insurance,7800.0
Andover,901301080.0,2013-2017,All,With Public Health Insurance,Number,Margins of Error,120.0
Andover,901301080.0,2014-2018,All,Without Health Insurance,Percent,Health Insurance,1.7
Ansonia,900901220.0,2008-2012,65+,Without Health Insurance,Percent,Margins of Error,1.5
Andover,901301080.0,2013-2017,18-64,Without Health Insurance,Number,Health Insurance,65.0
Andover,901301080.0,2011-2015,All,Without Health Insurance,Percent,Health Insurance,2.7
Andover,901301080.0,2010-2014,18-64,With Public Health Insurance,Percent,Health Insurance,9.7
Ansonia,900901220.0,2009-2013,65+,With Private Health Insurance,Number,Health Insurance,1709.0
Andover,901301080.0,2015-2019,All,With Public Health Insurance,Number,Margins of Error,118.0
Andover,901301080.0,2013-2017,65+,Without Health Insurance,Percent,Margins of Error,6.1
Andover,901301080.0,2010-2014,Under 18,With Public Health Insurance,Number,Margins of Error,72.0
Ansonia,900901220.0,2009-2013,All,With Private Health Insurance,Number,Health Insurance,11807.0
Andover,901301080.0,2011-2015,18-64,With Public Health Insurance,Number,Margins of Error,69.0
Andover,901301080.0,2015-2019,Under 18,With Public Health Insurance,Number,Margins of Error,58.0
Andover,901301080.0,2009-2013,All,Without Health Insurance,Number,Margins of Error,81.0
Ansonia,900901220.0,2009-2013,65+,With Private Health Insurance,Percent,Health Insurance,65.7
Andover,901301080.0,2012-2016,18-64,With Public Health Insurance,Percent,Health Insurance,8.3
Andover,901301080.0,2013-2017,65+,With Public Health Insurance,Number,Health Insurance,385.0
Andover,901301080.0,2008-2012,Under 18,With Public Health Insurance,Number,Margins of Error,71.0
Ansonia,900901220.0,2010-2014,All,With Public Health Insurance,Percent,Health Insurance,40.6
Andover,901301080.0,2014-2018,18-64,Without Health Insurance,Percent,Health Insurance,2.7
Andover,901301080.0,2013-2017,Under 18,With Private Health Insurance,Percent,Margins of Error,25.1
Ansonia,900901220.0,2009-2013,18-64,Without Health Insurance,Percent,Margins of Error,3.4
Ansonia,900901220.0,2013-2017,65+,With Public Health Insurance,Number,Margins of Error,309.0
Andover,901301080.0,2011-2015,65+,Without Health Insurance,Percent,Health Insurance,0.0
Ansonia,900901220.0,2009-2013,All,With Public Health Insurance,Number,Health Insurance,7325.0
Ansonia,900901220.0,2012-2016,65+,With Private Health Insurance,Number,Health Insurance,1528.0
Ansonia,900901220.0,2014-2018,All,Without Health Insurance,Percent,Margins of Error,1.6
Andover,901301080.0,2009-2013,65+,Without Health Insurance,Percent,Health Insurance,0.0
Andover,901301080.0,2011-2015,65+,With Private Health Insurance,Number,Health Insurance,403.0
Andover,901301080.0,2014-2018,Under 18,With Private Health Insurance,Number,Margins of Error,160.0
Ansonia,900901220.0,2008-2012,65+,With Public Health Insurance,Number,Health Insurance,2501.0
Ansonia,900901220.0,2010-2014,18-64,With Private Health Insurance,Percent,Margins of Error,2.4
Ansonia,900901220.0,2009-2013,Under 18,With Public Health Insurance,Percent,Margins of Error,9.6
Ansonia,900901220.0,2009-2013,Under 18,With Public Health Insurance,Number,Health Insurance,2058.0
Ansonia,900901220.0,2008-2012,65+,With Public Health Insurance,Percent,Health Insurance,96.8
Andover,901301080.0,2008-2012,All,With Public Health Insurance,Number,Margins of Error,122.0
Andover,901301080.0,2008-2012,65+,Without Health Insurance,Number,Margins of Error,24.0
Ansonia,900901220.0,2008-2012,All,Without Health Insurance,Percent,Margins of Error,2.6
Ansonia,900901220.0,2010-2014,65+,With Public Health Insurance,Percent,Health Insurance,97.5
Andover,901301080.0,2011-2015,18-64,With Private Health Insurance,Percent,Margins of Error,15.0
Andover,901301080.0,2008-2012,Under 18,With Public Health Insurance,Number,Health Insurance,100.0
Andover,901301080.0,2009-2013,All,With Private Health Insurance,Number,Health Insurance,2640.0
Ansonia,900901220.0,2013-2017,65+,Without Health Insurance,Percent,Margins of Error,1.4
Ansonia,900901220.0,2013-2017,All,Without Health Insurance,Percent,Margins of Error,1.4
Andover,901301080.0,2008-2012,All,With Private Health Insurance,Percent,Margins of Error,6.5
Ansonia,900901220.0,2009-2013,Under 18,With Private Health Insurance,Percent,Health Insurance,56.1
Ansonia,900901220.0,2008-2012,18-64,With Private Health Insurance,Number,Margins of Error,620.0
Andover,901301080.0,2014-2018,18-64,With Public Health Insurance,Number,Health Insurance,179.0
Ansonia,900901220.0,2013-2017,Under 18,With Private Health Insurance,Percent,Margins of Error,13.2
Andover,901301080.0,2013-2017,65+,With Public Health Insurance,Percent,Margins of Error,29.7
Ansonia,900901220.0,2012-2016,Under 18,Without Health Insurance,Percent,Margins of Error,1.7
Andover,901301080.0,2013-2017,65+,Without Health Insurance,Number,Margins of Error,24.0
Ansonia,900901220.0,2011-2015,65+,With Public Health Insurance,Number,Margins of Error,282.0
Andover,901301080.0,2012-2016,18-64,Without Health Insurance,Number,Margins of Error,53.0
Andover,901301080.0,2008-2012,18-64,With Private Health Insurance,Percent,Health Insurance,89.5
Ansonia,900901220.0,2011-2015,Under 18,With Public Health Insurance,Number,Health Insurance,2366.0
Andover,901301080.0,2013-2017,Under 18,Without Health Insurance,Percent,Margins of Error,3.2
Andover,901301080.0,2009-2013,All,With Private Health Insurance,Percent,Health Insurance,85.3
Andover,901301080.0,2015-2019,18-64,With Public Health Insurance,Number,Health Insurance,142.0
Andover,901301080.0,2012-2016,65+,With Private Health Insurance,Number,Margins of Error,75.0
Andover,901301080.0,2008-2012,65+,With Private Health Insurance,Number,Margins of Error,85.0
Andover,901301080.0,2011-2015,Under 18,With Private Health Insurance,Number,Margins of Error,111.0
Andover,901301080.0,2012-2016,65+,Without Health Insurance,Number,Margins of Error,24.0
Ansonia,900901220.0,2013-2017,65+,With Public Health Insurance,Percent,Health Insurance,96.2
Andover,901301080.0,2015-2019,65+,With Private Health Insurance,Percent,Health Insurance,75.2
Andover,901301080.0,2015-2019,18-64,Without Health Insurance,Percent,Health Insurance,5.1
Andover,901301080.0,2011-2015,18-64,With Public Health Insurance,Percent,Margins of Error,3.6
Ansonia,900901220.0,2012-2016,All,Without Health Insurance,Percent,Margins of Error,1.8
Ansonia,900901220.0,2013-2017,All,With Private Health Insurance,Percent,Health Insurance,62.0
Ansonia,900901220.0,2014-2018,All,With Public Health Insurance,Number,Margins of Error,751.0
Andover,901301080.0,2012-2016,All,With Private Health Insurance,Percent,Health Insurance,90.9
Ansonia,900901220.0,2012-2016,Under 18,With Private Health Insurance,Number,Margins of Error,402.0
Ansonia,900901220.0,2012-2016,Under 18,Without Health Insurance,Number,Margins of Error,70.0
Ansonia,900901220.0,2008-2012,65+,With Private Health Insurance,Percent,Health Insurance,67.9
Ansonia,900901220.0,2010-2014,All,Without Health Insurance,Number,Health Insurance,1869.0
Ansonia,900901220.0,2009-2013,Under 18,With Private Health Insurance,Number,Margins of Error,432.0
Ansonia,900901220.0,2013-2017,65+,Without Health Insurance,Percent,Health Insurance,0.0
Ansonia,900901220.0,2012-2016,All,With Private Health Insurance,Number,Health Insurance,10840.0
Ansonia,900901220.0,2012-2016,Under 18,With Public Health Insurance,Percent,Margins of Error,13.3
Andover,901301080.0,2009-2013,Under 18,With Public Health Insurance,Percent,Margins of Error,10.0
Ansonia,900901220.0,2010-2014,18-64,Without Health Insurance,Percent,Health Insurance,14.6
Andover,901301080.0,2011-2015,18-64,With Private Health Insurance,Number,Health Insurance,1788.0
Ansonia,900901220.0,2009-2013,Under 18,With Private Health Insurance,Number,Health Insurance,2419.0
Andover,901301080.0,2011-2015,Under 18,With Public Health Insurance,Percent,Health Insurance,16.5
Andover,901301080.0,2014-2018,Under 18,Without Health Insurance,Number,Margins of Error,24.0
Andover,901301080.0,2012-2016,All,With Private Health Insurance,Number,Margins of Error,247.0
Ansonia,900901220.0,2014-2018,All,With Public Health Insurance,Percent,Margins of Error,4.0
Andover,901301080.0,2015-2019,18-64,With Public Health Insurance,Number,Margins of Error,63.0
Andover,901301080.0,2015-2019,65+,Without Health Insurance,Percent,Margins of Error,5.3
Ansonia,900901220.0,2013-2017,All,With Private Health Insurance,Number,Margins of Error,815.0
Ansonia,900901220.0,2012-2016,18-64,Without Health Insurance,Percent,Health Insurance,12.2
Andover,901301080.0,2011-2015,All,Without Health Insurance,Number,Health Insurance,87.0
Ansonia,900901220.0,2009-2013,Under 18,With Private Health Insurance,Percent,Margins of Error,6.4
Ansonia,900901220.0,2011-2015,65+,With Public Health Insurance,Percent,Margins of Error,14.6
Andover,901301080.0,2012-2016,18-64,Without Health Insurance,Percent,Health Insurance,2.9
Ansonia,900901220.0,2013-2017,Under 18,With Private Health Insurance,Percent,Health Insurance,56.1
Ansonia,900901220.0,2011-2015,18-64,With Private Health Insurance,Percent,Health Insurance,64.8
Andover,901301080.0,2010-2014,All,With Public Health Insurance,Percent,Margins of Error,3.9
Ansonia,900901220.0,2008-2012,65+,With Private Health Insurance,Number,Margins of Error,252.0
Ansonia,900901220.0,2010-2014,All,With Public Health Insurance,Percent,Margins of Error,3.6
Ansonia,900901220.0,2013-2017,All,Without Health Insurance,Number,Health Insurance,942.0
Andover,901301080.0,2009-2013,18-64,With Private Health Insurance,Percent,Health Insurance,88.0
Andover,901301080.0,2010-2014,Under 18,With Public Health Insurance,Percent,Margins of Error,9.3
Ansonia,900901220.0,2008-2012,Under 18,Without Health Insurance,Percent,Margins of Error,5.5
Ansonia,900901220.0,2013-2017,65+,Without Health Insurance,Number,Margins of Error,38.0
Andover,901301080.0,2010-2014,Under 18,Without Health Insurance,Percent,Margins of Error,3.2
Andover,901301080.0,2009-2013,All,With Public Health Insurance,Number,Margins of Error,137.0
Andover,901301080.0,2011-2015,All,With Public Health Insurance,Percent,Margins of Error,4.7
Ansonia,900901220.0,2008-2012,Under 18,With Public Health Insurance,Percent,Margins of Error,9.2
Ansonia,900901220.0,2013-2017,18-64,With Public Health Insurance,Percent,Health Insurance,30.8
Andover,901301080.0,2012-2016,Under 18,With Private Health Insurance,Percent,Margins of Error,24.0
Ansonia,900901220.0,2011-2015,Under 18,With Private Health Insurance,Number,Margins of Error,384.0
Ansonia,900901220.0,2010-2014,All,With Private Health Insurance,Percent,Margins of Error,3.8
Ansonia,900901220.0,2009-2013,18-64,Without Health Insurance,Number,Margins of Error,435.0
Ansonia,900901220.0,2011-2015,All,With Public Health Insurance,Percent,Health Insurance,44.1
Andover,901301080.0,2008-2012,All,Without Health Insurance,Number,Health Insurance,130.0
Ansonia,900901220.0,2013-2017,65+,With Public Health Insurance,Number,Health Insurance,2677.0
