"Town","FIPS","Year","Age Range","Insurance Status","Measure Type","Variable","Value"
"Andover","0901301080","2009-2013","All","With Public Health Insurance","Number","Margins of Error",137
"Andover","0901301080","2009-2013","All","With Public Health Insurance","Percent","Health Insurance",21.2
"Andover","0901301080","2009-2013","All","With Public Health Insurance","Percent","Margins of Error",4.3
"Andover","0901301080","2009-2013","All","Without Health Insurance","Number","Health Insurance",118
"Andover","0901301080","2009-2013","All","Without Health Insurance","Number","Margins of Error",81
"Andover","0901301080","2009-2013","All","Without Health Insurance","Percent","Health Insurance",3.8
"Andover","0901301080","2009-2013","All","Without Health Insurance","Percent","Margins of Error",2.6
"Andover","0901301080","2009-2013","Under 18","With Private Health Insurance","Number","Health Insurance",638
"Andover","0901301080","2009-2013","Under 18","With Private Health Insurance","Number","Margins of Error",112
"Andover","0901301080","2009-2013","Under 18","With Private Health Insurance","Percent","Health Insurance",84.6
"Andover","0901301080","2009-2013","Under 18","With Private Health Insurance","Percent","Margins of Error",21
"Andover","0901301080","2009-2013","Under 18","With Public Health Insurance","Number","Health Insurance",127
"Andover","0901301080","2009-2013","Under 18","With Public Health Insurance","Number","Margins of Error",78
"Andover","0901301080","2009-2013","Under 18","With Public Health Insurance","Percent","Health Insurance",16.8
"Andover","0901301080","2009-2013","Under 18","With Public Health Insurance","Percent","Margins of Error",10
"Andover","0901301080","2009-2013","Under 18","Without Health Insurance","Number","Health Insurance",0
"Andover","0901301080","2009-2013","Under 18","Without Health Insurance","Number","Margins of Error",24
"Andover","0901301080","2009-2013","Under 18","Without Health Insurance","Percent","Health Insurance",0
"Andover","0901301080","2009-2013","Under 18","Without Health Insurance","Percent","Margins of Error",3.2
"Andover","0901301080","2009-2013","18-64","With Private Health Insurance","Number","Health Insurance",1705
"Andover","0901301080","2009-2013","18-64","With Private Health Insurance","Number","Margins of Error",177
"Andover","0901301080","2009-2013","18-64","With Private Health Insurance","Percent","Health Insurance",88
"Andover","0901301080","2009-2013","18-64","With Private Health Insurance","Percent","Margins of Error",3.3
"Andover","0901301080","2009-2013","18-64","With Public Health Insurance","Number","Health Insurance",195
"Andover","0901301080","2009-2013","18-64","With Public Health Insurance","Number","Margins of Error",75
"Andover","0901301080","2009-2013","18-64","With Public Health Insurance","Percent","Health Insurance",10.1
"Andover","0901301080","2009-2013","18-64","With Public Health Insurance","Percent","Margins of Error",3.7
"Andover","0901301080","2009-2013","18-64","Without Health Insurance","Number","Health Insurance",118
"Andover","0901301080","2009-2013","18-64","Without Health Insurance","Number","Margins of Error",74
"Andover","0901301080","2009-2013","18-64","Without Health Insurance","Percent","Health Insurance",6.1
"Andover","0901301080","2009-2013","18-64","Without Health Insurance","Percent","Margins of Error",3.8
"Andover","0901301080","2009-2013","65+","With Private Health Insurance","Number","Health Insurance",297
"Andover","0901301080","2009-2013","65+","With Private Health Insurance","Number","Margins of Error",99
"Andover","0901301080","2009-2013","65+","With Private Health Insurance","Percent","Health Insurance",73.7
"Andover","0901301080","2009-2013","65+","With Private Health Insurance","Percent","Margins of Error",12.9
"Andover","0901301080","2009-2013","65+","With Public Health Insurance","Number","Health Insurance",335
"Andover","0901301080","2009-2013","65+","With Public Health Insurance","Number","Margins of Error",83
"Andover","0901301080","2009-2013","65+","With Public Health Insurance","Percent","Health Insurance",83.1
"Andover","0901301080","2009-2013","65+","With Public Health Insurance","Percent","Margins of Error",31.5
"Andover","0901301080","2009-2013","65+","Without Health Insurance","Number","Health Insurance",0
"Andover","0901301080","2009-2013","65+","Without Health Insurance","Number","Margins of Error",24
"Andover","0901301080","2009-2013","65+","Without Health Insurance","Percent","Health Insurance",0
"Andover","0901301080","2009-2013","65+","Without Health Insurance","Percent","Margins of Error",6
"Andover","0901301080","2010-2014","All","With Private Health Insurance","Number","Health Insurance",2705
"Andover","0901301080","2010-2014","All","With Private Health Insurance","Number","Margins of Error",250
"Andover","0901301080","2010-2014","All","With Private Health Insurance","Percent","Health Insurance",85
"Andover","0901301080","2010-2014","All","With Private Health Insurance","Percent","Margins of Error",6.8
"Andover","0901301080","2010-2014","All","With Public Health Insurance","Number","Health Insurance",656
"Andover","0901301080","2010-2014","All","With Public Health Insurance","Number","Margins of Error",127
"Andover","0901301080","2010-2014","All","With Public Health Insurance","Percent","Health Insurance",20.6
"Andover","0901301080","2010-2014","All","With Public Health Insurance","Percent","Margins of Error",3.9
"Andover","0901301080","2010-2014","All","Without Health Insurance","Number","Health Insurance",137
"Andover","0901301080","2010-2014","All","Without Health Insurance","Number","Margins of Error",89
"Andover","0901301080","2010-2014","All","Without Health Insurance","Percent","Health Insurance",4.3
"Andover","0901301080","2010-2014","All","Without Health Insurance","Percent","Margins of Error",2.8
"Andover","0901301080","2010-2014","Under 18","With Private Health Insurance","Number","Health Insurance",631
"Andover","0901301080","2010-2014","Under 18","With Private Health Insurance","Number","Margins of Error",113
"Andover","0901301080","2010-2014","Under 18","With Private Health Insurance","Percent","Health Insurance",84.9
"Andover","0901301080","2010-2014","Under 18","With Private Health Insurance","Percent","Margins of Error",4.8
"Andover","0901301080","2010-2014","Under 18","With Public Health Insurance","Number","Health Insurance",116
"Andover","0901301080","2010-2014","Under 18","With Public Health Insurance","Number","Margins of Error",72
"Andover","0901301080","2010-2014","Under 18","With Public Health Insurance","Percent","Health Insurance",15.6
"Andover","0901301080","2010-2014","Under 18","With Public Health Insurance","Percent","Margins of Error",9.3
"Andover","0901301080","2010-2014","Under 18","Without Health Insurance","Number","Health Insurance",0
"Andover","0901301080","2010-2014","Under 18","Without Health Insurance","Number","Margins of Error",24
"Andover","0901301080","2010-2014","Under 18","Without Health Insurance","Percent","Health Insurance",0
"Andover","0901301080","2010-2014","Under 18","Without Health Insurance","Percent","Margins of Error",3.2
"Andover","0901301080","2010-2014","18-64","With Private Health Insurance","Number","Health Insurance",1761
"Andover","0901301080","2010-2014","18-64","With Private Health Insurance","Number","Margins of Error",198
"Andover","0901301080","2010-2014","18-64","With Private Health Insurance","Percent","Health Insurance",87.4
"Andover","0901301080","2010-2014","18-64","With Private Health Insurance","Percent","Margins of Error",3.4
"Andover","0901301080","2010-2014","18-64","With Public Health Insurance","Number","Health Insurance",195
"Andover","0901301080","2010-2014","18-64","With Public Health Insurance","Number","Margins of Error",69
"Andover","0901301080","2010-2014","18-64","With Public Health Insurance","Percent","Health Insurance",9.7
"Andover","0901301080","2010-2014","18-64","With Public Health Insurance","Percent","Margins of Error",3.3
"Andover","0901301080","2010-2014","18-64","Without Health Insurance","Number","Health Insurance",137
"Andover","0901301080","2010-2014","18-64","Without Health Insurance","Number","Margins of Error",82
"Andover","0901301080","2010-2014","18-64","Without Health Insurance","Percent","Health Insurance",6.8
"Andover","0901301080","2010-2014","18-64","Without Health Insurance","Percent","Margins of Error",4
"Andover","0901301080","2010-2014","65+","With Private Health Insurance","Number","Health Insurance",313
"Andover","0901301080","2010-2014","65+","With Private Health Insurance","Number","Margins of Error",103
"Andover","0901301080","2010-2014","65+","With Private Health Insurance","Percent","Health Insurance",73.8
"Andover","0901301080","2010-2014","65+","With Private Health Insurance","Percent","Margins of Error",13.9
"Andover","0901301080","2010-2014","65+","With Public Health Insurance","Number","Health Insurance",345
"Andover","0901301080","2010-2014","65+","With Public Health Insurance","Number","Margins of Error",78
"Andover","0901301080","2010-2014","65+","With Public Health Insurance","Percent","Health Insurance",81.4
"Andover","0901301080","2010-2014","65+","With Public Health Insurance","Percent","Margins of Error",28.8
"Andover","0901301080","2010-2014","65+","Without Health Insurance","Number","Health Insurance",0
"Andover","0901301080","2010-2014","65+","Without Health Insurance","Number","Margins of Error",24
"Andover","0901301080","2010-2014","65+","Without Health Insurance","Percent","Health Insurance",0
"Andover","0901301080","2010-2014","65+","Without Health Insurance","Percent","Margins of Error",5.7
"Andover","0901301080","2011-2015","All","With Private Health Insurance","Number","Health Insurance",2779
"Andover","0901301080","2011-2015","All","With Private Health Insurance","Number","Margins of Error",259
"Andover","0901301080","2011-2015","All","With Private Health Insurance","Percent","Health Insurance",86.4
"Andover","0901301080","2011-2015","All","With Private Health Insurance","Percent","Margins of Error",9.2
"Andover","0901301080","2011-2015","All","With Public Health Insurance","Number","Health Insurance",771
"Andover","0901301080","2011-2015","All","With Public Health Insurance","Number","Margins of Error",146
"Andover","0901301080","2011-2015","All","With Public Health Insurance","Percent","Health Insurance",24
"Andover","0901301080","2011-2015","All","With Public Health Insurance","Percent","Margins of Error",4.7
"Andover","0901301080","2011-2015","All","Without Health Insurance","Number","Health Insurance",87
"Andover","0901301080","2011-2015","All","Without Health Insurance","Number","Margins of Error",72
"Andover","0901301080","2011-2015","All","Without Health Insurance","Percent","Health Insurance",2.7
"Andover","0901301080","2011-2015","All","Without Health Insurance","Percent","Margins of Error",2.2
"Andover","0901301080","2011-2015","Under 18","With Private Health Insurance","Number","Health Insurance",588
"Andover","0901301080","2011-2015","Under 18","With Private Health Insurance","Number","Margins of Error",111
"Andover","0901301080","2011-2015","Under 18","With Private Health Insurance","Percent","Health Insurance",85.3
"Andover","0901301080","2011-2015","Under 18","With Private Health Insurance","Percent","Margins of Error",23
"Andover","0901301080","2011-2015","Under 18","With Public Health Insurance","Number","Health Insurance",114
"Andover","0901301080","2011-2015","Under 18","With Public Health Insurance","Number","Margins of Error",75
"Andover","0901301080","2011-2015","Under 18","With Public Health Insurance","Percent","Health Insurance",16.5
"Andover","0901301080","2011-2015","Under 18","With Public Health Insurance","Percent","Margins of Error",11.3
"Andover","0901301080","2011-2015","Under 18","Without Health Insurance","Number","Health Insurance",0
"Andover","0901301080","2011-2015","Under 18","Without Health Insurance","Number","Margins of Error",24
"Andover","0901301080","2011-2015","Under 18","Without Health Insurance","Percent","Health Insurance",0
"Andover","0901301080","2011-2015","Under 18","Without Health Insurance","Percent","Margins of Error",3.5
"Andover","0901301080","2011-2015","18-64","With Private Health Insurance","Number","Health Insurance",1788
"Andover","0901301080","2011-2015","18-64","With Private Health Insurance","Number","Margins of Error",212
"Andover","0901301080","2011-2015","18-64","With Private Health Insurance","Percent","Health Insurance",90.1
"Andover","0901301080","2011-2015","18-64","With Private Health Insurance","Percent","Margins of Error",15
"Andover","0901301080","2011-2015","18-64","With Public Health Insurance","Number","Health Insurance",176
"Andover","0901301080","2011-2015","18-64","With Public Health Insurance","Number","Margins of Error",69
"Andover","0901301080","2011-2015","18-64","With Public Health Insurance","Percent","Health Insurance",8.9
"Andover","0901301080","2011-2015","18-64","With Public Health Insurance","Percent","Margins of Error",3.6
"Andover","0901301080","2011-2015","18-64","Without Health Insurance","Number","Health Insurance",87
"Andover","0901301080","2011-2015","18-64","Without Health Insurance","Number","Margins of Error",63
"Andover","0901301080","2011-2015","18-64","Without Health Insurance","Percent","Health Insurance",4.4
"Andover","0901301080","2011-2015","18-64","Without Health Insurance","Percent","Margins of Error",3.2
"Andover","0901301080","2011-2015","65+","With Private Health Insurance","Number","Health Insurance",403
"Andover","0901301080","2011-2015","65+","With Private Health Insurance","Number","Margins of Error",98
"Andover","0901301080","2011-2015","65+","With Private Health Insurance","Percent","Health Insurance",74.1
"Andover","0901301080","2011-2015","65+","With Private Health Insurance","Percent","Margins of Error",23.9
"Andover","0901301080","2011-2015","65+","With Public Health Insurance","Number","Health Insurance",481
"Andover","0901301080","2011-2015","65+","With Public Health Insurance","Number","Margins of Error",105
"Andover","0901301080","2011-2015","65+","With Public Health Insurance","Percent","Health Insurance",88.4
"Andover","0901301080","2011-2015","65+","With Public Health Insurance","Percent","Margins of Error",26.8
"Andover","0901301080","2011-2015","65+","Without Health Insurance","Number","Health Insurance",0
"Andover","0901301080","2011-2015","65+","Without Health Insurance","Number","Margins of Error",24
"Andover","0901301080","2011-2015","65+","Without Health Insurance","Percent","Health Insurance",0
"Andover","0901301080","2011-2015","65+","Without Health Insurance","Percent","Margins of Error",4.4
"Andover","0901301080","2012-2016","All","With Private Health Insurance","Number","Health Insurance",2920
"Andover","0901301080","2012-2016","All","With Private Health Insurance","Number","Margins of Error",247
"Andover","0901301080","2012-2016","All","With Private Health Insurance","Percent","Health Insurance",90.9
"Andover","0901301080","2012-2016","All","With Private Health Insurance","Percent","Margins of Error",8.8
"Andover","0901301080","2012-2016","All","With Public Health Insurance","Number","Health Insurance",635
"Andover","0901301080","2012-2016","All","With Public Health Insurance","Number","Margins of Error",109
"Andover","0901301080","2012-2016","All","With Public Health Insurance","Percent","Health Insurance",19.8
"Andover","0901301080","2012-2016","All","With Public Health Insurance","Percent","Margins of Error",3.5
"Andover","0901301080","2012-2016","All","Without Health Insurance","Number","Health Insurance",63
"Andover","0901301080","2012-2016","All","Without Health Insurance","Number","Margins of Error",63
"Andover","0901301080","2012-2016","All","Without Health Insurance","Percent","Health Insurance",2
"Andover","0901301080","2012-2016","All","Without Health Insurance","Percent","Margins of Error",2
"Andover","0901301080","2012-2016","Under 18","With Private Health Insurance","Number","Health Insurance",586
"Andover","0901301080","2012-2016","Under 18","With Private Health Insurance","Number","Margins of Error",111
"Andover","0901301080","2012-2016","Under 18","With Private Health Insurance","Percent","Health Insurance",92.9
"Andover","0901301080","2012-2016","Under 18","With Private Health Insurance","Percent","Margins of Error",24
"Andover","0901301080","2012-2016","Under 18","With Public Health Insurance","Number","Health Insurance",65
"Andover","0901301080","2012-2016","Under 18","With Public Health Insurance","Number","Margins of Error",46
"Andover","0901301080","2012-2016","Under 18","With Public Health Insurance","Percent","Health Insurance",10.3
"Andover","0901301080","2012-2016","Under 18","With Public Health Insurance","Percent","Margins of Error",7.5
"Andover","0901301080","2012-2016","Under 18","Without Health Insurance","Number","Health Insurance",0
"Andover","0901301080","2012-2016","Under 18","Without Health Insurance","Number","Margins of Error",24
"Andover","0901301080","2012-2016","Under 18","Without Health Insurance","Percent","Health Insurance",0
"Andover","0901301080","2012-2016","Under 18","Without Health Insurance","Percent","Margins of Error",3.8
"Andover","0901301080","2012-2016","18-64","With Private Health Insurance","Number","Health Insurance",2014
"Andover","0901301080","2012-2016","18-64","With Private Health Insurance","Number","Margins of Error",207
"Andover","0901301080","2012-2016","18-64","With Private Health Insurance","Percent","Health Insurance",92.2
"Andover","0901301080","2012-2016","18-64","With Private Health Insurance","Percent","Margins of Error",13.2
"Andover","0901301080","2012-2016","18-64","With Public Health Insurance","Number","Health Insurance",181
"Andover","0901301080","2012-2016","18-64","With Public Health Insurance","Number","Margins of Error",64
"Andover","0901301080","2012-2016","18-64","With Public Health Insurance","Percent","Health Insurance",8.3
"Andover","0901301080","2012-2016","18-64","With Public Health Insurance","Percent","Margins of Error",3
"Andover","0901301080","2012-2016","18-64","Without Health Insurance","Number","Health Insurance",63
"Andover","0901301080","2012-2016","18-64","Without Health Insurance","Number","Margins of Error",53
"Andover","0901301080","2012-2016","18-64","Without Health Insurance","Percent","Health Insurance",2.9
"Andover","0901301080","2012-2016","18-64","Without Health Insurance","Percent","Margins of Error",2.4
"Andover","0901301080","2012-2016","65+","With Private Health Insurance","Number","Health Insurance",320
"Andover","0901301080","2012-2016","65+","With Private Health Insurance","Number","Margins of Error",75
"Andover","0901301080","2012-2016","65+","With Private Health Insurance","Percent","Health Insurance",80.8
"Andover","0901301080","2012-2016","65+","With Private Health Insurance","Percent","Margins of Error",24.8
"Andover","0901301080","2012-2016","65+","With Public Health Insurance","Number","Health Insurance",389
"Andover","0901301080","2012-2016","65+","With Public Health Insurance","Number","Margins of Error",76
"Andover","0901301080","2012-2016","65+","With Public Health Insurance","Percent","Health Insurance",98.2
"Andover","0901301080","2012-2016","65+","With Public Health Insurance","Percent","Margins of Error",27.3
"Andover","0901301080","2012-2016","65+","Without Health Insurance","Number","Health Insurance",0
"Andover","0901301080","2012-2016","65+","Without Health Insurance","Number","Margins of Error",24
"Andover","0901301080","2012-2016","65+","Without Health Insurance","Percent","Health Insurance",0
"Andover","0901301080","2012-2016","65+","Without Health Insurance","Percent","Margins of Error",6.1
"Andover","0901301080","2013-2017","All","With Private Health Insurance","Number","Health Insurance",2878
"Andover","0901301080","2013-2017","All","With Private Health Insurance","Number","Margins of Error",251
"Andover","0901301080","2013-2017","All","With Private Health Insurance","Percent","Health Insurance",90.5
"Andover","0901301080","2013-2017","All","With Private Health Insurance","Percent","Margins of Error",8.8
"Andover","0901301080","2013-2017","All","With Public Health Insurance","Number","Health Insurance",645
"Andover","0901301080","2013-2017","All","With Public Health Insurance","Number","Margins of Error",120
"Andover","0901301080","2013-2017","All","With Public Health Insurance","Percent","Health Insurance",20.3
"Andover","0901301080","2013-2017","All","With Public Health Insurance","Percent","Margins of Error",3.9
"Andover","0901301080","2013-2017","All","Without Health Insurance","Number","Health Insurance",65
"Andover","0901301080","2013-2017","All","Without Health Insurance","Number","Margins of Error",66
"Andover","0901301080","2013-2017","All","Without Health Insurance","Percent","Health Insurance",2
"Andover","0901301080","2013-2017","All","Without Health Insurance","Percent","Margins of Error",2.1
"Andover","0901301080","2013-2017","Under 18","With Private Health Insurance","Number","Health Insurance",699
"Andover","0901301080","2013-2017","Under 18","With Private Health Insurance","Number","Margins of Error",139
"Andover","0901301080","2013-2017","Under 18","With Private Health Insurance","Percent","Health Insurance",92.3
"Andover","0901301080","2013-2017","Under 18","With Private Health Insurance","Percent","Margins of Error",25.1
"Andover","0901301080","2013-2017","Under 18","With Public Health Insurance","Number","Health Insurance",82
"Andover","0901301080","2013-2017","Under 18","With Public Health Insurance","Number","Margins of Error",52
"Andover","0901301080","2013-2017","Under 18","With Public Health Insurance","Percent","Health Insurance",10.8
"Andover","0901301080","2013-2017","Under 18","With Public Health Insurance","Percent","Margins of Error",7.2
"Andover","0901301080","2013-2017","Under 18","Without Health Insurance","Number","Health Insurance",0
"Andover","0901301080","2013-2017","Under 18","Without Health Insurance","Number","Margins of Error",24
"Andover","0901301080","2013-2017","Under 18","Without Health Insurance","Percent","Health Insurance",0
"Andover","0901301080","2013-2017","Under 18","Without Health Insurance","Percent","Margins of Error",3.2
"Andover","0901301080","2013-2017","18-64","With Private Health Insurance","Number","Health Insurance",1856
"Andover","0901301080","2013-2017","18-64","With Private Health Insurance","Number","Margins of Error",194
"Andover","0901301080","2013-2017","18-64","With Private Health Insurance","Percent","Health Insurance",91.4
"Andover","0901301080","2013-2017","18-64","With Private Health Insurance","Percent","Margins of Error",13.1
"Andover","0901301080","2013-2017","18-64","With Public Health Insurance","Number","Health Insurance",178
"Andover","0901301080","2013-2017","18-64","With Public Health Insurance","Number","Margins of Error",69
"Andover","0901301080","2013-2017","18-64","With Public Health Insurance","Percent","Health Insurance",8.8
"Andover","0901301080","2013-2017","18-64","With Public Health Insurance","Percent","Margins of Error",3.5
"Andover","0901301080","2013-2017","18-64","Without Health Insurance","Number","Health Insurance",65
"Andover","0901301080","2013-2017","18-64","Without Health Insurance","Number","Margins of Error",57
"Andover","0901301080","2013-2017","18-64","Without Health Insurance","Percent","Health Insurance",3.2
"Andover","0901301080","2013-2017","18-64","Without Health Insurance","Percent","Margins of Error",2.8
"Andover","0901301080","2013-2017","65+","With Private Health Insurance","Number","Health Insurance",323
"Andover","0901301080","2013-2017","65+","With Private Health Insurance","Number","Margins of Error",79
"Andover","0901301080","2013-2017","65+","With Private Health Insurance","Percent","Health Insurance",82.4
"Andover","0901301080","2013-2017","65+","With Private Health Insurance","Percent","Margins of Error",26.7
"Andover","0901301080","2013-2017","65+","With Public Health Insurance","Number","Health Insurance",385
"Andover","0901301080","2013-2017","65+","With Public Health Insurance","Number","Margins of Error",83
"Andover","0901301080","2013-2017","65+","With Public Health Insurance","Percent","Health Insurance",98.2
"Andover","0901301080","2013-2017","65+","With Public Health Insurance","Percent","Margins of Error",29.7
"Andover","0901301080","2013-2017","65+","Without Health Insurance","Number","Health Insurance",0
"Andover","0901301080","2013-2017","65+","Without Health Insurance","Number","Margins of Error",24
"Andover","0901301080","2013-2017","65+","Without Health Insurance","Percent","Health Insurance",0
"Andover","0901301080","2013-2017","65+","Without Health Insurance","Percent","Margins of Error",6.1
"Andover","0901301080","2014-2018","All","With Private Health Insurance","Number","Health Insurance",2887
"Andover","0901301080","2014-2018","All","With Private Health Insurance","Number","Margins of Error",276
"Andover","0901301080","2014-2018","All","With Private Health Insurance","Percent","Health Insurance",89.6
"Andover","0901301080","2014-2018","All","With Private Health Insurance","Percent","Margins of Error",9.2
"Andover","0901301080","2014-2018","All","With Public Health Insurance","Number","Health Insurance",666
"Andover","0901301080","2014-2018","All","With Public Health Insurance","Number","Margins of Error",117
"Andover","0901301080","2014-2018","All","With Public Health Insurance","Percent","Health Insurance",20.7
"Andover","0901301080","2014-2018","All","With Public Health Insurance","Percent","Margins of Error",3.7
"Andover","0901301080","2014-2018","All","Without Health Insurance","Number","Health Insurance",56
"Andover","0901301080","2014-2018","All","Without Health Insurance","Number","Margins of Error",68
"Andover","0901301080","2014-2018","All","Without Health Insurance","Percent","Health Insurance",1.7
"Andover","0901301080","2014-2018","All","Without Health Insurance","Percent","Margins of Error",2.1
"Andover","0901301080","2014-2018","Under 18","With Private Health Insurance","Number","Health Insurance",687
"Andover","0901301080","2014-2018","Under 18","With Private Health Insurance","Number","Margins of Error",160
"Andover","0901301080","2014-2018","Under 18","With Private Health Insurance","Percent","Health Insurance",91.8
"Andover","0901301080","2014-2018","Under 18","With Private Health Insurance","Percent","Margins of Error",29.5
"Andover","0901301080","2014-2018","Under 18","With Public Health Insurance","Number","Health Insurance",91
"Andover","0901301080","2014-2018","Under 18","With Public Health Insurance","Number","Margins of Error",57
"Andover","0901301080","2014-2018","Under 18","With Public Health Insurance","Percent","Health Insurance",12.2
"Andover","0901301080","2014-2018","Under 18","With Public Health Insurance","Percent","Margins of Error",8.1
"Andover","0901301080","2014-2018","Under 18","Without Health Insurance","Number","Health Insurance",0
"Andover","0901301080","2014-2018","Under 18","Without Health Insurance","Number","Margins of Error",24
"Andover","0901301080","2014-2018","Under 18","Without Health Insurance","Percent","Health Insurance",0
"Andover","0901301080","2014-2018","Under 18","Without Health Insurance","Percent","Margins of Error",3.2
"Andover","0901301080","2014-2018","18-64","With Private Health Insurance","Number","Health Insurance",1897
"Andover","0901301080","2014-2018","18-64","With Private Health Insurance","Number","Margins of Error",214
"Andover","0901301080","2014-2018","18-64","With Private Health Insurance","Percent","Health Insurance",91.6
"Andover","0901301080","2014-2018","18-64","With Private Health Insurance","Percent","Margins of Error",14.3
"Andover","0901301080","2014-2018","18-64","With Public Health Insurance","Number","Health Insurance",179
"Andover","0901301080","2014-2018","18-64","With Public Health Insurance","Number","Margins of Error",70
"Andover","0901301080","2014-2018","18-64","With Public Health Insurance","Percent","Health Insurance",8.6
"Andover","0901301080","2014-2018","18-64","With Public Health Insurance","Percent","Margins of Error",3.5
"Andover","0901301080","2014-2018","18-64","Without Health Insurance","Number","Health Insurance",56
"Andover","0901301080","2014-2018","18-64","Without Health Insurance","Number","Margins of Error",59
"Andover","0901301080","2014-2018","18-64","Without Health Insurance","Percent","Health Insurance",2.7
"Andover","0901301080","2014-2018","18-64","Without Health Insurance","Percent","Margins of Error",2.9
"Andover","0901301080","2014-2018","65+","With Private Health Insurance","Number","Health Insurance",303
"Andover","0901301080","2014-2018","65+","With Private Health Insurance","Number","Margins of Error",68
"Andover","0901301080","2014-2018","65+","With Private Health Insurance","Percent","Health Insurance",74.8
